Name & Organization,Attachments,Document Title,Description,Technical Area,Indicator,Document Type,Author,Publication Date,WHO-Approved Doc: Check here if this document peer reviewed or from the WHO or CDC,Status,Relevant Pages,Lead Approval Req: Check here if this document requires approval from another lead agency,Thumbnail Image
"Britney McMurren, WHO",Antibiotic Resistance in Vietnam_ Moving towards a One Health Surveillance System.pdf (https://dl.airtable.com/.attachments/eb4e23f2f198383286850b8998b7aec9/63fe4074/AntibioticResistanceinVietnam_MovingtowardsaOneHealthSurveillanceSystem.pdf),"Antibiotic resistance in Vietnam: moving
towards a One Health surveillance system",,Antimicrobial Resistance,"""3.1 Undertake a situation analysis to identify major risks for development and transmission of AMR, and where the impact of
resistance would be greatest.""",Case Study,Marion Bordier et al.,2018,checked,,All,,Antibiotic Resistance in Vietnam_ Moving towards a One Health Surveillance System.png (https://dl.airtable.com/.attachments/76bfd54492a59426eb656987d095133c/47ba26e4/AntibioticResistanceinVietnam_MovingtowardsaOneHealthSurveillanceSystem.png)
"Britney McMurren, WHO",MSG TOR-English.pdf (https://dl.airtable.com/.attachments/eac46b6bbde4780984586e6883b5aca8/c0367f3d/MSGTOR-English.pdf),"Sample terms of reference for a national multisectoral
coordinating group, for a national focal point and for a
technical working group","Sample terms of reference for a national multisectoral coordinating group, for a national focal point and for a technical working group.",Antimicrobial Resistance,"""3.1 Identify a health ministry lead for AMR, develop a clear terms of reference and coordinate activities of the relevant ministries
on AMR and stewardship."",""3.1 Develop terms of reference for a multisectoral governance mechanism, with clear lines of accountability between the AMR
coordinating committee and the high level One Health group.""",Example,"WHO, FAO, OIE",2016,checked,,1-5,,MSG TOR-English.png (https://dl.airtable.com/.attachments/4d19d382646c17f7d17933ae935b43af/3351474f/MSGTOR-English.png)
"Britney McMurren, WHO",GARDP Situation Analysis and Recommendations_Kenya.pdf (https://dl.airtable.com/.attachments/5d295bef398d5e0f882169648df97f82/04506ef1/GARDPSituationAnalysisandRecommendations_Kenya.pdf),Situation Analysis and Recommendations: Antibiotic Use and Resistance in Kenya,,Antimicrobial Resistance,"""3.1 Undertake a situation analysis to identify major risks for development and transmission of AMR, and where the impact of
resistance would be greatest.""",Case Study, Global Antibiotic Resistance Partnership — Kenya Working Group,2011,checked,,All,,GARDP Situation Analysis and Recommendations_Kenya.png (https://dl.airtable.com/.attachments/f253531e2fd5e1778d9f35800f9c1255/18387ef3/GARDPSituationAnalysisandRecommendations_Kenya.png)
"Britney McMurren, WHO",Sample NAP Template.pdf (https://dl.airtable.com/.attachments/98a535a2235e604da812318f7e298246/e741bbb1/SampleNAPTemplate.pdf),"Sample Template: National Action Plan
on Antimicrobial Resistance",,Antimicrobial Resistance,"""3.1 Identify a health ministry lead for AMR, develop a clear terms of reference and coordinate activities of the relevant ministries
on AMR and stewardship."",3.1 Develop a plan of action to address AMR in line with the Global Action Plan (GAP) on AMR.",Template,"WHO, FAO, OIE",2016,checked,,All,,SampleNAPTemplate.png (https://dl.airtable.com/.attachments/50968d7d1adf6a47f61666b68a35e4e7/305e3b36/SampleNAPTemplate.png)
"Britney McMurren, WHO",Manual for Developing NAPs_WHOFAOOIE_eng.pdf (https://dl.airtable.com/.attachments/0a03502e548b957fe26a0101dcdf5dd7/aa7af6b8/ManualforDevelopingNAPs_WHOFAOOIE_eng.pdf),"Antimicrobial Resistance: A Manual for Developing National Action Plans
",,Antimicrobial Resistance,3.1 Develop a plan of action to address AMR in line with the Global Action Plan (GAP) on AMR.,Manual,"WHO, FAO, OIE",2016,checked,,All,,Manual for Developing NAPs_WHOFAOOIE_eng.png (https://dl.airtable.com/.attachments/7e039e2aedf4db45e07bc2ec9579409a/cec34c33/ManualforDevelopingNAPs_WHOFAOOIE_eng.png)
"Britney McMurren, WHO",NAP Development Sample-Checklist-Revised.pdf (https://dl.airtable.com/.attachments/654fec7ad36a3283d9e41a4048346c28/775e26bc/NAPDevelopmentSample-Checklist-Revised.pdf),National Action Plan development support tools: Sample Checklist,,Antimicrobial Resistance,3.1 Develop a plan of action to address AMR in line with the Global Action Plan (GAP) on AMR.,Tool,"WHO, FAO, OIE",2016,checked,,All,,NAP Development Sample-Checklist-Revised.png (https://dl.airtable.com/.attachments/447021f72161a7c25dd70299c3c02563/06132b28/NAPDevelopmentSample-Checklist-Revised.png)
"Britney McMurren, WHO",NAP M&E Framework-eng.pdf (https://dl.airtable.com/.attachments/84bf0df25ad5bf6108edb1b044637185/33ba5f73/NAPMEFramework-eng.pdf),Monitoring and Evaluation of the Global Action Plan on Antimicrobial Resistance: Framework and Recommended Indicators,,Antimicrobial Resistance,3.1 Develop and implement an AMR national action plan monitoring framework.,Guideline,"WHO, FAO, OIE",2019,checked,,All,,NAP M&E Framework-eng.png (https://dl.airtable.com/.attachments/a7c1912028d149a5c0f648c4e1f11bf2/d8829c6e/NAPMEFramework-eng.png)
"Britney McMurren, WHO",Ghana-AMR-integration-report-WHO-June-2018 (1).pdf (https://dl.airtable.com/.attachments/594775a947d5047183e721c7e192789b/3e1c2ea5/Ghana-AMR-integration-report-WHO-June-20181.pdf),"Resource mobilisation for
antimicrobial resistance
(AMR): Getting AMR into plans
and budgets of government
and development partners,
Ghana country level report",,Antimicrobial Resistance,3.1 Ensure key activities are incorporated in plans and budgets of relevant programmes and agencies.,Case Study,World Health Organization,2018,checked,,All,,Ghana-AMR-integration-report-WHO-June-2018 (1).png (https://dl.airtable.com/.attachments/f4708a3722247055d4c12453c54973ed/b1b540ae/Ghana-AMR-integration-report-WHO-June-20181.png)
"Britney McMurren, WHO",Nigeria-AMR-country-level-report-WHO-March-2018.pdf (https://dl.airtable.com/.attachments/9850f83176d0c3c4cf97dd1c0fc5b072/bdcc5e7a/Nigeria-AMR-country-level-report-WHO-March-2018.pdf),"Resource mobilisation for
antimicrobial resistance
(AMR): Getting AMR into plans
and budgets of government
and development partners,
Nigeria country level report",,Antimicrobial Resistance,3.1 Ensure key activities are incorporated in plans and budgets of relevant programmes and agencies.,Case Study,World Health Organization,2018,checked,,All,,Nigeria-AMR-country-level-report-WHO-March-2018.png (https://dl.airtable.com/.attachments/5737de7c8d4334f41ea8d229ad5b2bec/3c4d30ee/Nigeria-AMR-country-level-report-WHO-March-2018.png)
"Britney McMurren, WHO",Nepal-AMR-integration-Report-WHO-Sept-2018.pdf (https://dl.airtable.com/.attachments/acfd358bf3451801754f17d1aff92ebe/b054f633/Nepal-AMR-integration-Report-WHO-Sept-2018.pdf),"Resource mobilisation for
antimicrobial resistance
(AMR): Getting AMR into plans
and budgets of government
and development partners,
Nepal country level report",,Antimicrobial Resistance,3.1 Ensure key activities are incorporated in plans and budgets of relevant programmes and agencies.,Case Study,World Health Organization,2018,checked,,All,,Nepal-AMR-integration-Report-WHO-Sept-2018.png (https://dl.airtable.com/.attachments/8a96257f1c059341e2d9b62f26486d4f/8a87bb0c/Nepal-AMR-integration-Report-WHO-Sept-2018.png)
"Britney McMurren, WHO",WHO EML 21st Edition-eng.pdf (https://dl.airtable.com/.attachments/72b6f71a291cb80c47f5e7094ca8d3eb/16a47eef/WHOEML21stEdition-eng.pdf),"World Health Organization
Model List of Essential Medicines: 21st List",,Antimicrobial Resistance,"3.4 Review the essential medicines list and clinical guidelines that promote appropriate use.,3.4 Develop and implement legislation on �prescription only� sales of key antibiotics.",Tool,World Health Organization,2019,checked,,8-15,,WHO EML 21st Edition-eng.png (https://dl.airtable.com/.attachments/aa480bc6b190e78c28b40b8471337290/15942184/WHOEML21stEdition-eng.png)
"Britney McMurren, WHO",Antibiotic Use In SouthEast Asia.full.pdf (https://dl.airtable.com/.attachments/f4ceed982962b8c4057dead75c47deb6/e7459e9d/AntibioticUseInSouthEastAsia.full.pdf),"Antibiotic use in South East Asia and policies to
promote appropriate use: reports from country
situational analyses",,Antimicrobial Resistance,3.4 Assess existing monitoring of antimicrobial use and consumption.,Case Study,Kathleen Holloway et al. ,2017,checked,,All,,Antibiotic Use In SouthEast Asia_full.png (https://dl.airtable.com/.attachments/e04de6858ee62a9fef2a718f042d9c5c/afc5a35b/AntibioticUseInSouthEastAsia_full.png)
"Britney McMurren, WHO",The Selection and Use of Essential Medicines.pdf (https://dl.airtable.com/.attachments/1ff14037d66be4b23d5c7099b40e0f6f/b6f47bc3/TheSelectionandUseofEssentialMedicines.pdf),"The Selection and Use
of Essential Medicines",,Antimicrobial Resistance,3.4 Review the essential medicines list and clinical guidelines that promote appropriate use.,Guideline,World Health Organization,2017,checked,,62-142,,The Selection and Use of Essential Medicines.png (https://dl.airtable.com/.attachments/285c20922c852aa28c4b6afc8fbc76e9/58be09dc/TheSelectionandUseofEssentialMedicines.png)
"Britney McMurren, WHO",WHO-EMP-IAU-2019.11-eng.xlsx (https://dl.airtable.com/.attachments/ef2119e37fcdcf9745f8d0a247bec3bb/8ce575bd/WHO-EMP-IAU-2019.11-eng.xlsx),"The 2019 WHO AWaRe classification of antibiotics for evaluation and monitoring of use. 
",,Antimicrobial Resistance,"""3.4 Develop/update and disseminate national stewardship and clinical/treatment guidelines that include the Essential
Medicines List AWaRe (Access, Watch, Reserve) categorization for antibiotics promoting appropriate use of antimicrobials.""",Tool,World Health Organization,2019,checked,,All,,
"Britney McMurren, WHO",WHO_AMCsurveillance_1.0.pdf (https://dl.airtable.com/.attachments/b235587717d23e81af6d35b71a01a42a/b0859f3e/WHO_AMCsurveillance_1.0.pdf),"WHO Methodology for a Global
Programme on Surveillance of
Antimicrobial Consumption",,Antimicrobial Resistance,"""3.4 Establish SOPs, protocols and databases for monitoring antimicrobial use in humans and animals.""",Manual,World Health Organization,Unknown,checked,,All,,WHO_AMCsurveillance_1_0.png (https://dl.airtable.com/.attachments/d8b40d0c483cf608852305513de10c18/a835d367/WHO_AMCsurveillance_1_0.png)
"Britney McMurren, WHO",WHO-EMP-IAU-2018.01-eng.pdf (https://dl.airtable.com/.attachments/78067dd3a86c512cdd7d6273d89f38a4/14a4e460/WHO-EMP-IAU-2018.01-eng.pdf),"WHO Methodology for Point Prevalence Survey
on Antibiotic Use in Hospitals",,Antimicrobial Resistance,"""3.4 Implement antimicrobial stewardship programmes, including monitoring of antimicrobial use, education/communication,
and other interventions to improve antibiotic use, at designated facilities.""",Manual,World Health Organization,2018,checked,,All,,WHO-EMP-IAU-2018_01-eng.png (https://dl.airtable.com/.attachments/0de6f845236b9eab75bbbbe41a7db007/3a494b42/WHO-EMP-IAU-2018_01-eng.png)
"Britney McMurren, WHO",9789241515528-eng.pdf (https://dl.airtable.com/.attachments/d64f0f16fcb92adf37daf3b7a54bbff8/31cc73a8/9789241515528-eng.pdf),Critically Important Antimicrobials for Human Medicine,CIA List,Antimicrobial Resistance,3.4 Recommend and implement the phasing out of antimicrobials used as animal growth promotion.,Guideline,World Health Organization,2019,checked,,All,,9789241515528-eng.png (https://dl.airtable.com/.attachments/89c11a97e76d295162cb50046a43a6ed/bbe3717e/9789241515528-eng.png)
"Britney McMurren, WHO",Operational Principles for Good Pharmaceutical Management.pdf (https://dl.airtable.com/.attachments/2bf39ed749be6a2619e44f411d959696/3897c77a/OperationalPrinciplesforGoodPharmaceuticalManagement.pdf),"Operational principles
for good
pharmaceutical
procurement
",,Antimicrobial Resistance,"""3.4 Approve and enact legislation and regulations on import, marketing authorization, production and use of antimicrobials.""",Guideline,World Health Organization,1999,checked,,9-17,,Operational Principles for Good Pharmaceutical Management.png (https://dl.airtable.com/.attachments/042443163644db1e15694aabd0b6a19c/e76ed342/OperationalPrinciplesforGoodPharmaceuticalManagement.png)
"Britney McMurren, WHO",WHO List_EML_Children_7th.pdf (https://dl.airtable.com/.attachments/51862d8897729d82271acb9e9462082c/cc8f474f/WHOList_EML_Children_7th.pdf),"World Health Organization
Model List of Essential Medicines
for Children: 7th List",,Antimicrobial Resistance,3.4 Review the essential medicines list and clinical guidelines that promote appropriate use.,Guideline,World Health Organization,2019,checked,,8-15,,WHO List_EML_Children_7th.png (https://dl.airtable.com/.attachments/bc9022207968d35c95a0eecc469768d3/f910cd96/WHOList_EML_Children_7th.png)
MIchael Mahar,Zoonotic Disease Prioritization for Inter-sectoral Engagement in Cameroon.pdf (https://dl.airtable.com/.attachments/6c676d2c8fea947ce47fa629f350899d/93a91be1/ZoonoticDiseasePrioritizationforInter-sectoralEngagementinCameroon.pdf),"Zoonotic Disease
Prioritization for
Inter-sectoral
Engagement in
Cameroon","Summary of the methodology, process and results from a zoonotic diasease prioritization in Cameroon.",Zoonotic Disease,"""4.1 Jointly define and prioritize zoonotic diseases of greatest national public health concern for the country through a One
Health approach that involves all relevant stakeholders.""",Example,Government of Cameroon,2016,,,All,,Zoonotic Disease Prioritization for Inter-sectoral Engagement in Cameroon.png (https://dl.airtable.com/.attachments/6099082df6b18612b2951efd2d37789f/33b6ebc5/ZoonoticDiseasePrioritizationforInter-sectoralEngagementinCameroon.png)
Michael Mahar,uganda-one-health-zoonotic-disease-prioritization-report-508.pdf (https://dl.airtable.com/.attachments/59ff7519e7205f6c0f8d9b33e38b4219/05c91378/uganda-one-health-zoonotic-disease-prioritization-report-508.pdf),"One Health Zoonotic
Disease Prioritization
for Multi-Sectoral
Engagement in Uganda","Summary of the methodology, process, and results of a zoonotic disease prioritization workshop in Uganda.",Zoonotic Disease,"""4.1 Jointly define and prioritize zoonotic diseases of greatest national public health concern for the country through a One
Health approach that involves all relevant stakeholders.""",Example,Government of Uganda,2017,,,All,,uganda-one-health-zoonotic-disease-prioritization-report-508.png (https://dl.airtable.com/.attachments/10e2e1a748618e95a8e738d14b1e9e83/a6d8635a/uganda-one-health-zoonotic-disease-prioritization-report-508.png)
"Dawn Mapatano, CDC ",One Health Planning Workshop-Tanzania.pdf (https://dl.airtable.com/.attachments/12bfa252adfc67f39d5f1a01ee45a9de/82db658d/OneHealthPlanningWorkshop-Tanzania.pdf),"One Health Zoonotic
Disease Prioritization for
Multisectoral Engagement
in Tanzania",Country specific zoonotic disease prioritization workshop reports from Tanzania ,Zoonotic Disease,"""4.1 Jointly define and prioritize zoonotic diseases of greatest national public health concern for the country through a One
Health approach that involves all relevant stakeholders.""",Example,"US Department of Health and Human Services, CDC, USAID ",2017,,,15-18,checked,One Health Planning Workshop-Tanzania.png (https://dl.airtable.com/.attachments/b6f358d1168f8c36400a791ce5d6c384/20b287cb/OneHealthPlanningWorkshop-Tanzania.png)
"Dawn Mapatano, Centers for Disease Control and Prevention","One health zoonotic disease prioroitization for Multisectoral Engagement in Burkina Faso (FRENCH).pdf (https://dl.airtable.com/.attachments/d273fbb3427d94635ddb734a14f95e26/98c1a677/OnehealthzoonoticdiseaseprioroitizationforMultisectoralEngagementinBurkinaFasoFRENCH.pdf),One health zoonotic disease prioroitization for Multisectoral Engagement in Burkina Faso.pdf (https://dl.airtable.com/.attachments/a78a3c2b524ddac30133b6aa882817aa/15400a04/OnehealthzoonoticdiseaseprioroitizationforMultisectoralEngagementinBurkinaFaso.pdf)","One Health Zoonotic
Disease Prioritization for
Multisectoral Engagement
in Burkina Faso",Country Specific zoonotic disease prioritization reports from Burkina Faso in French and English ,Zoonotic Disease,"""4.1 Jointly define and prioritize zoonotic diseases of greatest national public health concern for the country through a One
Health approach that involves all relevant stakeholders.""",Example,"USAID, Burkina Faso Ministry of Health, CDC ",2017,,,9-13,checked,One health zoonotic disease prioroitization for Multisectoral Engagement in Burkina Faso.png (https://dl.airtable.com/.attachments/17e62b402854de18d04ac881191a189b/725a6d81/OnehealthzoonoticdiseaseprioroitizationforMultisectoralEngagementinBurkinaFaso.png)
Hani Mahmoud,chad vaccination.pdf (https://dl.airtable.com/.attachments/07c5a42d18d6991af103663d31dcdd16/cd7e0505/chadvaccination.pdf),"Human and Animal Vaccination
Delivery to Remote Nomadic
Families, Chad ","A review of field research on joint human and animal vaccination campaigns
among nomadic pastoralists of Chad, advocating
for intersectoral approaches for service delivery in similar
remote rural, hard-to-reach settings",Immunization,"""6.2 Assess vaccine delivery assessment in hard-to-reach areas, targeted based on existing coverage/registry/surveillance data,
and use results to improve vaccine delivery to these areas.""",Example,Esther Schelling et al.,2007,checked,,All,checked,chad vaccination.png (https://dl.airtable.com/.attachments/c360d38b2b8f21db5dfe6b178c662beb/3f9bede2/chadvaccination.png)
Mike Mahar,7_1_2_8 Development of National Health Laboratory Policy and Plan.pdf (https://dl.airtable.com/.attachments/d881de800d6b70817596beee38ac385f/d9e0a77e/7_1_2_8DevelopmentofNationalHealthLaboratoryPolicyandPlan.pdf),"Development of
National Health Laboratory
Policy and Plan",Development of National Health Laboratory Policy and Plan - Guide that provides the role of lab services in the health system and identifies essential elements of the national health lab policy and national health lab plan.,National Laboratory System,7.1 Develop a national laboratory policy that identifies expected capacities at each level of the national laboratory system.,Guideline,World Health Organization,2011,checked,,1-20,checked,7_1_2_8 Development of National Health Laboratory Policy and Plan.png (https://dl.airtable.com/.attachments/48b155bb3e6556e8bf188ca3415291b6/b85a920d/7_1_2_8DevelopmentofNationalHealthLaboratoryPolicyandPlan.png)
Dawn Mapatano,7_2_2_1 Guidance on Regulations for the Transport of Infectious Substances (2013-2014).pdf (https://dl.airtable.com/.attachments/dd6d5d4824a1e08cc37a4d2eb5a55cc7/1b72010b/7_2_2_1GuidanceonRegulationsfortheTransportofInfectiousSubstances2013-2014.pdf),"Guidance on regulations
for the
Transport of Infectious
Substances","Guidance on Regulations for the Transport of Infectious Substances (2013-2014) - Definitions of different categories of samples and guidelines for packaging, labeling, and documentation requirements for each.",National Laboratory System,"""7.2 Review existing specimen referral and transportation networks for priority diseases, map existing laboratory capacity for
priority diseases, and establish referral networks for each pathogen.""",Guideline,World Health Organization,2012,checked,,1-34,checked,7_2_2_1 Guidance on Regulations for the Transport of Infectious Substances (2013-2014).png (https://dl.airtable.com/.attachments/35fc4a603e5b03253c75d4388c00a506/a7d30fe7/7_2_2_1GuidanceonRegulationsfortheTransportofInfectiousSubstances2013-2014.png)
Mike Mahar,7_1_2_2  WHO Flu manual.pdf (https://dl.airtable.com/.attachments/00818076c1affe10ddbfe8d9738a142b/be990144/7_1_2_2WHOFlumanual.pdf),"Manual for the
laboratory diagnosis and
virological surveillance
of influenza","Manual for the Laboratory diagnosis and virological surveillance of influenza - This manual includes a background on flu virology, epidemiology, control, and surveillance as well as a number of diagnostic test instructions and transport SOPs.",National Laboratory System,"""7.2 Develop SOPs (as part of disease outbreak investigation protocols) for specimen collection, management and
transportation and share with all levels."",7.1 Define 10 core tests based on the priority diseases list (link this with the surveillance benchmark).",Manual,World Health Organization,2011,checked,,"29-32, 43-115",checked,7_1_2_2  WHO Flu manual.png (https://dl.airtable.com/.attachments/9a86f44f19afff00f6404e79bd9259d5/e5f42839/7_1_2_2WHOFlumanual.png)
